Name	brca_Database_ID	luad_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue
TBC1D31	NP_663622.2|NP_001138560.1|NP_001317535.1	NP_663622.2|NP_001350078.1|NP_001350077.1|NP_001350079.1|NP_001138560.1|NP_001317535.1|NP_001350084.1|NP_001350082.1|NP_001350080.1|NP_001350081.1|NP_001350083.1|NP_001350085.1	NP_663622.2|NP_001350078.1|NP_001350079.1|NP_001350077.1|NP_001317535.1|NP_001138560.1|NP_001350081.1|NP_001350084.1|NP_001350083.1|NP_001350080.1|NP_001350082.1|NP_001350085.1		0.037257368025199585		0.022240863737172625	0.0147742221708071	0.03834369857704861	
TMEM65	NP_919267.2	NP_919267.2	NP_919267.2	NP_919267	0.342049661650573	0.5596680106315255	0.03838067685313546	0.21897284013931506	0.9418922558052953	0.6912438766053253
TRPS1	NP_054831.2|NP_001269832.1|NP_001269831.1|NP_001317528.1	NP_054831.2|NP_001269832.1|NP_001269831.1|NP_001317528.1	NP_001269831.1|NP_054831.2|NP_001269832.1|NP_001317528.1	NP_001269831	0.6594167517121402		0.0274158856772137	0.4280942711529537	0.12194102954411305	0.4733641231969511
TSPYL5	NP_277047.2	NP_277047.2	NP_277047.2	NP_277047	0.27666292837723433		0.023613875935234604	0.6870819884282573	0.15771532138714775	0.026035555877919163
UBR5	NP_056986.2|NP_001269802.1	NP_056986.2|NP_001269802.1	NP_056986.2|NP_001269802.1	NP_001269802	0.9998015653660001	0.16174151613413124	0.17941980102289604	0.5262202784651595	0.9991886650348182	0.013285752774614502
UQCRB	NP_006285.1|NP_001186904.1|NP_001241681.1	NP_006285.1|NP_001241681.1|NP_001186904.1	NP_006285.1|NP_001241681.1|NP_001186904.1	NP_006285	0.25848441446011744	0.5169305560608506	0.01911928068478204	0.047494761361911275	0.5562028356905343	0.02607368281273539
UTP23	NP_115710.2	NP_115710.2	NP_115710.2	NP_115710	0.9998015653660001	0.7287289745586091	0.1423745421423835	0.1884117214491726	0.979789518870827	0.024626657176219025
VPS13B	NP_060360.3|NP_689777.3|NP_056058.2|NP_858047.2	NP_060360.3|NP_689777.3|NP_056058.2|NP_858047.2	NP_060360.3|NP_689777.3|NP_056058.2|NP_858047.2	NP_060360	0.06756430609339337		0.5584673689099044	0.6958010361219186	0.6526813513702456	0.013285752774614502
WDYHV1	NP_060494.1|NP_001269953.1|NP_001269956.1	NP_060494.1|NP_001269953.1|NP_001269956.1	NP_060494.1|NP_001269953.1|NP_001269956.1	NP_001269953	0.3924441543587434		0.01911928068478204	0.41866507264989444	0.17720864740738135	0.03042236683638172
WWP1	NP_008944.1	NP_008944.1	NP_008944.1		0.04261695406420881	0.036550197992010876	0.0274158856772137	0.6746663678388434	0.5395349224591294	
YWHAZ	NP_001129173.1	NP_001129171.1	NP_001129171.1	NP_001129173	0.9998015653660001	0.9999953991968545	0.8141571988595845	0.7598160365426628	0.5603468110324545	0.9916908923136937
ZFAND1	NP_078975.2|NP_001164267.1|NP_001164268.1	NP_078975.2|NP_001164267.1|NP_001164268.1	NP_078975.2|NP_001164267.1|NP_001164268.1	NP_078975	0.11480638589627261	0.021338909002122475	0.01911928068478204	0.16682879170107404	0.7693605282193634	0.8088933795916672
ZHX1	NP_009153.3	NP_001017926.1	NP_001017926.1	NP_009153	0.18685362885058646		0.04788578858826919	0.8040030792665002	0.7576106494114224	0.18787409906627817
ZHX2	NP_055758.1	NP_001349726.1	NP_001349726.1	NP_055758	0.22585827525233154	0.050638067419900006	0.02272620445457752	0.08303583403853498	0.1416501785549771	0.024626657176219025
ZNF706	NP_001035975.1	NP_001035975.1	NP_001035975.1	NP_001035975	0.9998015653660001	0.6786684746517224	0.5919358288987306	0.06875562893879404	0.05502895111915272	0.3935325535625947
