	Name	Database_ID	chromosome	start_bp	end_bp	p_arm_max	arm
1345	B3GAT3	ENSG00000149541.8	11	62615296	62622154	53400000	q
1346	B3GNT2	ENSG00000170340.10	2	62196115	62224731	93900000	p
1347	B3GNT3	ENSG00000179913.9	19	17794828	17813576	26200000	p
1348	B3GNT4	ENSG00000176383.8	12	122203681	122208952	35500000	q
1349	B3GNT5	ENSG00000176597.10	3	183253253	183298504	90900000	q
1350	B3GNT6	ENSG00000198488.9	11	77034398	77041973	53400000	q
1351	B3GNT7	ENSG00000156966.6	2	231395710	231401164	93900000	q
1352	B3GNT8	ENSG00000177191.2	19	41425359	41428730	26200000	q
1353	B3GNT9	ENSG00000237172.3	16	67148104	67150998	36800000	q
1354	B3GNTL1	ENSG00000175711.7	17	82942155	83051810	25100000	q
1355	B4GALNT1	ENSG00000135454.12	12	57623409	57633239	35500000	q
1356	B4GALNT2	ENSG00000167080.7	17	49132460	49176840	25100000	q
1357	B4GALNT3	ENSG00000139044.9	12	459939	563509	35500000	p
1358	B4GALNT4	ENSG00000182272.10	11	369499	382117	53400000	p
1359	B4GALT1	ENSG00000086062.11	9	33104082	33167356	43000000	p
1360	B4GALT2	ENSG00000117411.15	1	43978943	43991170	123400000	p
1361	B4GALT3	ENSG00000158850.13	1	161171310	161177968	123400000	q
1362	B4GALT4	ENSG00000121578.11	3	119211732	119240946	90900000	q
1363	B4GALT5	ENSG00000158470.5	20	49632945	49713878	28100000	q
1364	B4GALT6	ENSG00000118276.10	18	31622246	31685836	18500000	q
1365	B4GALT7	ENSG00000027847.12	5	177600132	177610330	48800000	q
1366	B4GAT1	ENSG00000174684.6	11	66345374	66347629	53400000	q
1367	B9D1	ENSG00000108641.13	17	19334308	19378193	25100000	p
1368	B9D2	ENSG00000123810.6	19	41354417	41364165	26200000	q
1369	BAALC	ENSG00000164929.15	8	103140713	103230305	45200000	q
1370	BAAT	ENSG00000136881.10	9	101354182	101385400	43000000	q
1371	BABAM1	ENSG00000105393.14	19	17267376	17281249	26200000	p
1372	BACE1	ENSG00000186318.15	11	117285232	117316259	53400000	q
1373	BACE2	ENSG00000182240.14	21	41167801	41282530	12000000	q
1374	BACH1	ENSG00000156273.14	21	29194071	29630751	12000000	q
1375	BACH2	ENSG00000112182.13	6	89926528	90296908	59800000	q
1376	BAD	ENSG00000002330.12	11	64269830	64284704	53400000	q
1377	BAG1	ENSG00000107262.15	9	33247820	33264720	43000000	p
1378	BAG2	ENSG00000112208.11	6	57172326	57189833	59800000	p
1379	BAG3	ENSG00000151929.8	10	119651380	119677819	39800000	q
1380	BAG4	ENSG00000156735.9	8	38176533	38213301	45200000	p
1381	BAG5	ENSG00000166170.9	14	103556545	103562657	17200000	q
1382	BAG6	ENSG00000204463.11	6	31639028	31652705	59800000	p
1383	BAHCC1	ENSG00000266074.7	17	81395457	81466332	25100000	q
1384	BAHD1	ENSG00000140320.10	15	40439721	40468236	19000000	q
1385	BAI1	ENSG00000181790.9	8	142449430	142545009	45200000	q
1386	BAI2	ENSG00000121753.11	1	31727117	31764893	123400000	p
1387	BAI3	ENSG00000135298.12	6	68635282	69390571	59800000	q
1388	BAIAP2	ENSG00000175866.14	17	81035122	81117434	25100000	q
1389	BAIAP2L1	ENSG00000006453.12	7	98291650	98401090	60100000	q
1390	BAIAP2L2	ENSG00000128298.15	22	38084652	38111015	15000000	q
1391	BAIAP3	ENSG00000007516.12	16	1333638	1349441	36800000	p
1392	BAK1	ENSG00000030110.11	6	33572547	33580293	59800000	p
1393	BAMBI	ENSG00000095739.10	10	28677510	28682932	39800000	p
1394	BANF1	ENSG00000175334.6	11	66002228	66004149	53400000	q
1395	BANF2	ENSG00000125888.13	20	17693672	17735871	28100000	p
1396	BANK1	ENSG00000153064.10	4	101411286	102074812	50000000	q
1397	BANP	ENSG00000172530.18	16	87949244	88077318	36800000	q
1398	BAP1	ENSG00000163930.8	3	52401008	52410008	90900000	p
1399	BARD1	ENSG00000138376.9	2	214725646	214809683	93900000	q
1400	BARHL1	ENSG00000125492.8	9	132582606	132590252	43000000	q
1401	BARHL2	ENSG00000143032.7	1	90711539	90717302	123400000	p
1402	BARX1	ENSG00000131668.12	9	93951627	93955355	43000000	q
1403	BARX2	ENSG00000043039.6	11	129375848	129452279	53400000	q
1404	BASP1	ENSG00000176788.8	5	17065598	17276843	48800000	p
1405	BATF	ENSG00000156127.6	14	75522455	75546993	17200000	q
1406	BATF2	ENSG00000168062.8	11	64987945	64997018	53400000	q
1407	BATF3	ENSG00000123685.7	1	212686417	212699840	123400000	q
1408	BAX	ENSG00000087088.18	19	48954815	48961798	26200000	q
1409	BAZ1A	ENSG00000198604.9	14	34752731	34875647	17200000	q
1410	BAZ1B	ENSG00000009954.9	7	73440406	73522293	60100000	q
1411	BAZ2A	ENSG00000076108.10	12	56595596	56636816	35500000	q
1412	BAZ2B	ENSG00000123636.16	2	159318979	159616569	93900000	q
1413	BBC3	ENSG00000105327.14	19	47220822	47232766	26200000	q
1414	BBIP1	ENSG00000214413.6	10	110898730	110919201	39800000	q
1415	BBOX1	ENSG00000129151.7	11	27040725	27127809	53400000	p
1416	BBS1	ENSG00000174483.18	11	66510606	66533613	53400000	q
1417	BBS10	ENSG00000179941.6	12	76344474	76348415	35500000	q
1418	BBS12	ENSG00000181004.8	4	122732702	122744942	50000000	q
1419	BBS2	ENSG00000125124.10	16	56465640	56582667	36800000	q
1420	BBS4	ENSG00000140463.12	15	72686179	72738475	19000000	q
1421	BBS5	ENSG00000163093.10	2	169479480	169506655	93900000	q
1422	BBS7	ENSG00000138686.8	4	121824329	121870487	50000000	q
1423	BBS9	ENSG00000122507.19	7	33109557	33877180	60100000	p
1424	BBX	ENSG00000114439.17	3	107522936	107811339	90900000	q
1425	BCAM	ENSG00000187244.9	19	44809071	44821421	26200000	q
1426	BCAN	ENSG00000132692.17	1	156641390	156659532	123400000	q
1427	BCAP29	ENSG00000075790.9	7	107580246	107629170	60100000	q
1428	BCAR1	ENSG00000050820.15	16	75228181	75268053	36800000	q
1429	BCAR3	ENSG00000137936.15	1	93561741	93847150	123400000	p
1430	BCAS1	ENSG00000064787.11	20	53936777	54070594	28100000	q
1431	BCAS2	ENSG00000116752.5	1	114567557	114581629	123400000	p
1432	BCAS3	ENSG00000141376.19	17	60677453	61392838	25100000	q
1433	BCAS4	ENSG00000124243.16	20	50794894	50877177	28100000	q
1434	BCAT1	ENSG00000060982.13	12	24810024	24949101	35500000	p
1435	BCAT2	ENSG00000105552.13	19	48795062	48811029	26200000	q
1436	BCCIP	ENSG00000107949.15	10	125823546	125853695	39800000	q
1437	BCDIN3D	ENSG00000186666.5	12	49836043	49843106	35500000	q
1438	BCHE	ENSG00000114200.8	3	165772904	165837462	90900000	q
1439	BCKDHA	ENSG00000248098.9	19	41397808	41425002	26200000	q
1440	BCKDHB	ENSG00000083123.13	6	80106647	80346270	59800000	q
1441	BCKDK	ENSG00000103507.12	16	31106107	31112791	36800000	p
1442	BCL10	ENSG00000142867.11	1	85265776	85276632	123400000	p
1443	BCL11A	ENSG00000119866.19	2	60450520	60554467	93900000	p
1444	BCL11B	ENSG00000127152.16	14	99169287	99272197	17200000	q
1445	BCL2	ENSG00000171791.11	18	63123346	63320128	18500000	q
1446	BCL2A1	ENSG00000140379.7	15	79960892	79971196	19000000	q
1447	BCL2L1	ENSG00000171552.11	20	31664452	31723989	28100000	q
1448	BCL2L10	ENSG00000137875.4	15	52109263	52112775	19000000	q
1449	BCL2L11	ENSG00000153094.20	2	111119378	111168445	93900000	q
1450	BCL2L12	ENSG00000126453.8	19	49665142	49673916	26200000	q
1451	BCL2L13	ENSG00000099968.16	22	17628855	17730855	15000000	q
1452	BCL2L14	ENSG00000121380.11	12	12049844	12211084	35500000	p
1453	BCL2L15	ENSG00000188761.10	1	113876816	113887581	123400000	p
1454	BCL2L2	ENSG00000129473.8	14	23298790	23311751	17200000	q
1455	BCL2L2-PABPN1	ENSG00000258643.4	14	23306833	23326175	17200000	q
1456	BCL3	ENSG00000069399.11	19	44747705	44760044	26200000	q
1457	BCL6	ENSG00000113916.16	3	187721377	187745725	90900000	q
1458	BCL6B	ENSG00000161940.9	17	7023050	7030290	25100000	p
1459	BCL7A	ENSG00000110987.7	12	122019422	122062044	35500000	q
1460	BCL7B	ENSG00000106635.6	7	73536356	73557690	60100000	q
1461	BCL7C	ENSG00000099385.10	16	30833626	30894302	36800000	p
1462	BCL9	ENSG00000116128.8	1	147541501	147626216	123400000	q
1463	BCL9L	ENSG00000186174.11	11	118893875	118925926	53400000	q
1464	BCLAF1	ENSG00000029363.14	6	136256627	136289851	59800000	q
1465	BCO1	ENSG00000135697.8	16	81238689	81291142	36800000	q
1466	BCO2	ENSG00000197580.10	11	112175510	112224699	53400000	q
1467	BCR	ENSG00000186716.18	22	23179704	23318037	15000000	q
1468	BCS1L	ENSG00000074582.11	2	218658764	218663443	93900000	q
1469	BDH1	ENSG00000161267.10	3	197509783	197573323	90900000	q
1470	BDH2	ENSG00000164039.13	4	103077592	103099870	50000000	q
1471	BDKRB1	ENSG00000100739.9	14	96256210	96268967	17200000	q
1472	BDKRB2	ENSG00000168398.6	14	96204679	96244166	17200000	q
1473	BDNF	ENSG00000176697.17	11	27654893	27722058	53400000	p
1474	BDP1	ENSG00000145734.17	5	71455651	71567820	48800000	q
1475	BEAN1	ENSG00000166546.12	16	66427295	66493529	36800000	q
1476	BECN1	ENSG00000126581.11	17	42810134	42833350	25100000	q
1477	BEGAIN	ENSG00000183092.14	14	100537147	100587413	17200000	q
1478	BEND3	ENSG00000178409.12	6	107065182	107115515	59800000	q
1479	BEND4	ENSG00000188848.14	4	42110853	42152878	50000000	p
1480	BEND5	ENSG00000162373.11	1	48727519	48776969	123400000	p
1481	BEND6	ENSG00000151917.16	6	56955107	57027346	59800000	p
1482	BEND7	ENSG00000165626.15	10	13438484	13528974	39800000	p
1483	BEST1	ENSG00000167995.14	11	61950063	61965515	53400000	q
1484	BEST2	ENSG00000039987.5	19	12751702	12758458	26200000	p
1485	BEST3	ENSG00000127325.17	12	69643360	69699476	35500000	q
1486	BEST4	ENSG00000142959.4	1	44783585	44788170	123400000	p
1487	BET1	ENSG00000105829.10	7	93962762	94004382	60100000	q
1488	BET1L	ENSG00000177951.16	11	167784	207428	53400000	p
1489	BFAR	ENSG00000103429.9	16	14632931	14669236	36800000	p
1490	BFSP1	ENSG00000125864.10	20	17493905	17569220	28100000	p
1491	BFSP2	ENSG00000170819.4	3	133400056	133475222	90900000	q
1492	BGLAP	ENSG00000242252.1	1	156242184	156243317	123400000	q
1493	BHLHA15	ENSG00000180535.3	7	98211439	98215457	60100000	q
1494	BHLHA9	ENSG00000205899.3	17	1270444	1271815	25100000	p
1495	BHLHE22	ENSG00000180828.2	8	64580365	64583627	45200000	q
1496	BHLHE23	ENSG00000125533.5	20	63005927	63007035	28100000	q
1497	BHLHE40	ENSG00000134107.4	3	4979437	4985323	90900000	p
1498	BHLHE41	ENSG00000123095.5	12	26120030	26125037	35500000	p
1499	BHMG1	ENSG00000237452.2	19	45733439	45764541	26200000	q
1500	BHMT	ENSG00000145692.13	5	79111809	79132288	48800000	q
1501	BHMT2	ENSG00000132840.8	5	79069767	79090069	48800000	q
1502	BICC1	ENSG00000122870.10	10	58512872	58831435	39800000	q
1503	BICD1	ENSG00000151746.12	12	32106835	32383633	35500000	p
1504	BICD2	ENSG00000185963.12	9	92711363	92764833	43000000	q
1505	BID	ENSG00000015475.17	22	17734138	17774770	15000000	q
1506	BIK	ENSG00000100290.2	22	43110750	43129712	15000000	q
1507	BIN1	ENSG00000136717.13	2	127048027	127107288	93900000	q
1508	BIN2	ENSG00000110934.9	12	51281038	51324668	35500000	q
1509	BIN3	ENSG00000147439.10	8	22620418	22669148	45200000	p
1510	BIRC2	ENSG00000110330.7	11	102347211	102378670	53400000	q
1511	BIRC3	ENSG00000023445.12	11	102317450	102339403	53400000	q
1512	BIRC5	ENSG00000089685.13	17	78214186	78225636	25100000	q
1513	BIRC6	ENSG00000115760.12	2	32357028	32618899	93900000	p
1514	BIRC7	ENSG00000101197.11	20	63235883	63240495	28100000	q
1515	BIRC8	ENSG00000163098.4	19	53289601	53291426	26200000	q
1516	BIVM	ENSG00000134897.12	13	102799119	102841533	17700000	q
1517	BIVM-ERCC5	ENSG00000270181.1	13	102799110	102875994	17700000	q
1518	BLACE	ENSG00000204960.6	7	155356985	155367934	60100000	q
1519	BLCAP	ENSG00000166619.11	20	37492472	37527931	28100000	q
1520	BLID	ENSG00000259571.1	11	122115340	122116215	53400000	q
1521	BLK	ENSG00000136573.11	8	11486894	11564599	45200000	p
1522	BLM	ENSG00000197299.9	15	90717346	90816166	19000000	q
1523	BLMH	ENSG00000108578.13	17	30248203	30292056	25100000	q
1524	BLNK	ENSG00000095585.15	10	96189171	96271587	39800000	q
1525	BLOC1S1	ENSG00000135441.6	12	55716037	55720087	35500000	q
1526	BLOC1S2	ENSG00000196072.10	10	100273280	100286680	39800000	q
1527	BLOC1S3	ENSG00000189114.6	19	45178784	45216933	26200000	q
1528	BLOC1S4	ENSG00000186222.4	4	6716174	6717664	50000000	p
1529	BLOC1S5	ENSG00000188428.15	6	8013567	8064396	59800000	p
1530	BLOC1S5-TXNDC5	ENSG00000259040.4	6	7881522	8064364	59800000	p
1531	BLOC1S6	ENSG00000104164.9	15	45587214	45615945	19000000	q
1532	BLVRA	ENSG00000106605.9	7	43758680	43807342	60100000	p
1533	BLVRB	ENSG00000090013.8	19	40447765	40465764	26200000	q
1534	BLZF1	ENSG00000117475.12	1	169367970	169396540	123400000	q
1535	BMF	ENSG00000104081.12	15	40087890	40108892	19000000	q
1536	BMI1	ENSG00000168283.12	10	22321099	22331484	39800000	p
1537	BMP1	ENSG00000168487.16	8	22165140	22212326	45200000	p
1538	BMP10	ENSG00000163217.1	2	68860909	68871397	93900000	p
1539	BMP2	ENSG00000125845.6	20	6767686	6780246	28100000	p
1540	BMP2K	ENSG00000138756.16	4	78776342	78916365	50000000	q
1541	BMP3	ENSG00000152785.6	4	81030708	81057627	50000000	q
1542	BMP4	ENSG00000125378.14	14	53949736	53958761	17200000	q
1543	BMP5	ENSG00000112175.7	6	55753653	55875590	59800000	p
1544	BMP6	ENSG00000153162.8	6	7726099	7881728	59800000	p
1545	BMP7	ENSG00000101144.11	20	57168753	57266641	28100000	q
1546	BMP8A	ENSG00000183682.7	1	39491636	39529869	123400000	p
1547	BMP8B	ENSG00000116985.9	1	39757182	39788865	123400000	p
1548	BMPER	ENSG00000164619.7	7	33904308	34156427	60100000	p
1549	BMPR1A	ENSG00000107779.10	10	86756601	86932825	39800000	q
1550	BMPR1B	ENSG00000138696.9	4	94757955	95158448	50000000	q
1551	BMPR2	ENSG00000204217.11	2	202376327	202567751	93900000	q
1552	BMS1	ENSG00000165733.7	10	42782795	42834937	39800000	q
1553	BNC1	ENSG00000169594.11	15	83255884	83284664	19000000	q
1554	BNC2	ENSG00000173068.16	9	16409503	16870843	43000000	p
1555	BNIP1	ENSG00000113734.16	5	173144442	173164387	48800000	q
1556	BNIP2	ENSG00000140299.10	15	59659146	59689534	19000000	q
1557	BNIP3	ENSG00000176171.10	10	131966455	131982013	39800000	q
1558	BNIP3L	ENSG00000104765.13	8	26383054	26505636	45200000	p
1559	BNIPL	ENSG00000163141.17	1	151036321	151047720	123400000	q
1560	BOC	ENSG00000144857.13	3	113211003	113287459	90900000	q
1561	BOD1	ENSG00000145919.9	5	173607145	173616659	48800000	q
1562	BOD1L1	ENSG00000038219.11	4	13568738	13627725	50000000	p
1563	BOD1L2	ENSG00000228075.4	18	57147087	57150410	18500000	q
1564	BOK	ENSG00000176720.4	2	241551424	241574131	93900000	q
1565	BOLA1	ENSG00000178096.8	1	149887890	149900798	123400000	q
1566	BOLA2	ENSG00000183336.7	16	29443056	29454964	36800000	p
1567	BOLA2B	ENSG00000169627.7	16	30192932	30194306	36800000	p
1568	BOLA3	ENSG00000163170.10	2	74135400	74147912	93900000	p
1569	BOLL	ENSG00000152430.16	2	197726879	197786762	93900000	q
1570	BOP1	ENSG00000261236.4	8	144262045	144291438	45200000	q
1571	BORA	ENSG00000136122.14	13	72727749	72756198	17700000	q
1572	BPGM	ENSG00000172331.10	7	134646811	134679816	60100000	q
1573	BPHL	ENSG00000137274.11	6	3118374	3153578	59800000	p
1574	BPI	ENSG00000101425.11	20	38304150	38337505	28100000	q
1575	BPIFA1	ENSG00000198183.10	20	33235995	33243311	28100000	q
1576	BPIFA2	ENSG00000131050.9	20	33161768	33181412	28100000	q
1577	BPIFA3	ENSG00000131059.10	20	33217310	33227806	28100000	q
1578	BPIFB1	ENSG00000125999.9	20	33273480	33309871	28100000	q
1579	BPIFB2	ENSG00000078898.6	20	33007704	33023703	28100000	q
1580	BPIFB3	ENSG00000186190.7	20	33055424	33073628	28100000	q
1581	BPIFB4	ENSG00000186191.7	20	33079643	33111751	28100000	q
1582	BPIFB6	ENSG00000167104.10	20	33031648	33044047	28100000	q
1583	BPIFC	ENSG00000184459.7	22	32413847	32464484	15000000	q
1584	BPNT1	ENSG00000162813.16	1	220057482	220090462	123400000	q
1585	BPTF	ENSG00000171634.15	17	67825503	67984378	25100000	q
1586	BRAF	ENSG00000157764.11	7	140719327	140924929	60100000	q
1587	BRAP	ENSG00000089234.14	12	111642146	111685956	35500000	q
1588	BRAT1	ENSG00000106009.14	7	2537810	2555694	60100000	p
1589	BRCA1	ENSG00000012048.18	17	43044295	43170245	25100000	q
1590	BRCA2	ENSG00000139618.13	13	32315086	32400268	17700000	q
1591	BRD1	ENSG00000100425.17	22	49773283	49827512	15000000	q
1592	BRD2	ENSG00000204256.11	6	32968594	32981505	59800000	p
1593	BRD3	ENSG00000169925.15	9	134030305	134068535	43000000	q
1594	BRD4	ENSG00000141867.16	19	15235519	15332545	26200000	p
1595	BRD7	ENSG00000166164.14	16	50313487	50368988	36800000	q
1596	BRD8	ENSG00000112983.16	5	138139770	138178953	48800000	q
1597	BRD9	ENSG00000028310.16	5	850291	892801	48800000	p
1598	BRDT	ENSG00000137948.17	1	91949343	92014426	123400000	p
1599	BRE	ENSG00000158019.19	2	27889941	28338901	93900000	p
1600	BRF1	ENSG00000185024.14	14	105209286	105315589	17200000	q
1601	BRF2	ENSG00000104221.11	8	37843268	37849861	45200000	p
1602	BRI3	ENSG00000164713.8	7	98252379	98310441	60100000	q
1603	BRI3BP	ENSG00000184992.10	12	124993645	125031231	35500000	q
1604	BRICD5	ENSG00000182685.6	16	2209253	2210905	36800000	p
1605	BRINP1	ENSG00000078725.11	9	119153458	119369435	43000000	q
1606	BRINP2	ENSG00000198797.6	1	177170958	177282422	123400000	q
1607	BRINP3	ENSG00000162670.9	1	190097658	190478404	123400000	q
1608	BRIP1	ENSG00000136492.7	17	61679139	61863559	25100000	q
1609	BRIX1	ENSG00000113460.11	5	34915677	34925996	48800000	p
1610	BRK1	ENSG00000254999.3	3	10115675	10127190	90900000	p
1611	BRMS1	ENSG00000174744.12	11	66337333	66345125	53400000	q
1612	BRMS1L	ENSG00000100916.12	14	35826338	35932325	17200000	q
1613	BROX	ENSG00000162819.10	1	222712553	222735196	123400000	q
1614	BRPF1	ENSG00000156983.14	3	9731729	9748019	90900000	p
1615	BRPF3	ENSG00000096070.18	6	36196744	36232790	59800000	p
1616	BRSK1	ENSG00000160469.15	19	55282072	55312562	26200000	q
1617	BRSK2	ENSG00000174672.14	11	1389899	1462689	53400000	p
1618	BRWD1	ENSG00000185658.12	21	39184176	39321559	12000000	q
1619	BSCL2	ENSG00000168000.13	11	62689289	62709845	53400000	q
1620	BSDC1	ENSG00000160058.17	1	32364633	32394731	123400000	p
1621	BSG	ENSG00000172270.17	19	571277	583494	26200000	p
1622	BSN	ENSG00000164061.4	3	49554477	49671549	90900000	p
1623	BSND	ENSG00000162399.6	1	54998933	55017172	123400000	p
1624	BSPH1	ENSG00000188334.3	19	47968046	47992170	26200000	q
1625	BSPRY	ENSG00000119411.10	9	113349541	113371233	43000000	q
1626	BST1	ENSG00000109743.9	4	15703065	15738313	50000000	p
1627	BST2	ENSG00000130303.11	19	17402939	17405630	26200000	p
1628	BSX	ENSG00000188909.4	11	122977570	122981834	53400000	q
1629	BTAF1	ENSG00000095564.12	10	91923770	92030325	39800000	q
1630	BTBD1	ENSG00000064726.8	15	83016423	83067252	19000000	q
1631	BTBD10	ENSG00000148925.9	11	13388008	13463297	53400000	p
1632	BTBD11	ENSG00000151136.13	12	107318421	107659642	35500000	q
1633	BTBD16	ENSG00000138152.8	10	122271296	122338159	39800000	q
1634	BTBD17	ENSG00000204347.3	17	74356416	74361868	25100000	q
1635	BTBD18	ENSG00000233436.6	11	57743514	57751781	53400000	q
1636	BTBD19	ENSG00000222009.7	1	44808482	44815585	123400000	p
1637	BTBD2	ENSG00000133243.7	19	1985438	2034881	26200000	p
1638	BTBD3	ENSG00000132640.13	20	11890723	11926609	28100000	p
1639	BTBD6	ENSG00000184887.12	14	105248533	105251093	17200000	q
1640	BTBD7	ENSG00000011114.13	14	93237550	93333092	17200000	q
1641	BTBD8	ENSG00000189195.8	1	92080305	92184725	123400000	p
1642	BTBD9	ENSG00000183826.15	6	38168451	38640148	59800000	p
1643	BTC	ENSG00000174808.10	4	74744759	74794523	50000000	q
1644	BTD	ENSG00000169814.11	3	15601341	15722311	90900000	p
1645	BTF3	ENSG00000145741.14	5	73498408	73505635	48800000	q
1646	BTF3L4	ENSG00000134717.16	1	52056199	52090716	123400000	p
1647	BTG1	ENSG00000133639.4	12	92140278	92145846	35500000	q
1648	BTG2	ENSG00000159388.5	1	203305491	203309602	123400000	q
1649	BTG3	ENSG00000154640.13	21	17593653	17612945	12000000	q
1650	BTG4	ENSG00000137707.12	11	111467526	111512354	53400000	q
1651	BTLA	ENSG00000186265.8	3	112463966	112499472	90900000	q
1652	BTN1A1	ENSG00000124557.11	6	26500303	26510425	59800000	p
1653	BTN2A1	ENSG00000112763.14	6	26457904	26476621	59800000	p
1654	BTN2A2	ENSG00000124508.15	6	26383096	26394874	59800000	p
1655	BTN3A1	ENSG00000026950.15	6	26402237	26415208	59800000	p
1656	BTN3A2	ENSG00000186470.12	6	26365159	26378320	59800000	p
1657	BTN3A3	ENSG00000111801.14	6	26440472	26453415	59800000	p
1658	BTNL2	ENSG00000204290.9	6	32393963	32407128	59800000	p
1659	BTNL3	ENSG00000168903.8	5	180988846	181006727	48800000	q
1660	BTNL8	ENSG00000113303.10	5	180899077	180950906	48800000	q
1661	BTNL9	ENSG00000165810.15	5	181040225	181061521	48800000	q
1662	BTRC	ENSG00000166167.16	10	101354033	101557321	39800000	q
1663	BUB1	ENSG00000169679.13	2	110637528	110678063	93900000	q
1664	BUB1B	ENSG00000156970.11	15	40161023	40221123	19000000	q
1665	BUB3	ENSG00000154473.16	10	123154402	123170467	39800000	q
1666	BUD13	ENSG00000137656.10	11	116748170	116772987	53400000	q
1667	BUD31	ENSG00000106245.8	7	99408641	99419616	60100000	q
1668	BVES	ENSG00000112276.12	6	105096822	105137157	59800000	q
1669	BYSL	ENSG00000112578.8	6	41921499	41933046	59800000	p
1670	BZRAP1	ENSG00000005379.14	17	58301228	58328795	25100000	q
1671	BZW1	ENSG00000082153.16	2	200810594	200827338	93900000	q
1672	BZW2	ENSG00000136261.13	7	16646131	16706523	60100000	p
1673	C10orf10	ENSG00000165507.8	10	44970981	44978809	39800000	q
1674	C10orf105	ENSG00000214688.4	10	71711701	71737824	39800000	q
1675	C10orf107	ENSG00000183346.6	10	61662929	61766766	39800000	q
1676	C10orf11	ENSG00000148655.13	10	75431624	76560168	39800000	q
1677	C10orf120	ENSG00000183559.10	10	122697709	122699846	39800000	q
1678	C10orf128	ENSG00000204161.12	10	49154725	49188585	39800000	q
1679	C10orf2	ENSG00000107815.6	10	100987367	100994403	39800000	q
1680	C10orf32	ENSG00000166275.14	10	102854259	102864961	39800000	q
1681	C10orf32-ASMT	ENSG00000270316.1	10	102854272	102901899	39800000	q
1682	C10orf35	ENSG00000171224.8	10	69630247	69633596	39800000	q
1683	C10orf53	ENSG00000178645.11	10	49679651	49710261	39800000	q
1684	C10orf54	ENSG00000107738.18	10	71747556	71773520	39800000	q
1685	C10orf55	ENSG00000222047.7	10	73909969	73922777	39800000	q
1686	C10orf62	ENSG00000203942.4	10	97589721	97590934	39800000	q
1687	C10orf67	ENSG00000179133.10	10	23202696	23344845	39800000	p
1688	C10orf71	ENSG00000177354.10	10	49299170	49327492	39800000	q
1689	C10orf76	ENSG00000120029.11	10	101845599	102056193	39800000	q
1690	C10orf82	ENSG00000165863.15	10	116663696	116670264	39800000	q
1691	C10orf88	ENSG00000119965.11	10	122930901	122954311	39800000	q
1692	C10orf90	ENSG00000154493.16	10	126424997	126798708	39800000	q
1693	C10orf99	ENSG00000188373.4	10	84173801	84185294	39800000	q
1694	C11orf1	ENSG00000137720.6	11	111878935	111885975	53400000	q
1695	C11orf16	ENSG00000176029.12	11	8920076	8933006	53400000	p
1696	C11orf21	ENSG00000110665.10	11	2295628	2303049	53400000	p
1697	C11orf24	ENSG00000171067.9	11	68261338	68272001	53400000	q
1698	C11orf30	ENSG00000158636.15	11	76444923	76553025	53400000	q
1699	C11orf31	ENSG00000211450.8	11	57741250	57743554	53400000	q
1700	C11orf40	ENSG00000171987.1	11	4571423	4577820	53400000	p
1701	C11orf42	ENSG00000180878.2	11	6205557	6211135	53400000	p
1702	C11orf44	ENSG00000175728.3	11	130672956	130717352	53400000	q
1703	C11orf45	ENSG00000174370.8	11	128899565	128906035	53400000	q
1704	C11orf49	ENSG00000149179.12	11	46936689	47164385	53400000	p
1705	C11orf52	ENSG00000149300.8	11	111918032	111926871	53400000	q
1706	C11orf53	ENSG00000150750.6	11	111245725	111286401	53400000	q
1707	C11orf54	ENSG00000182919.13	11	93741591	93764749	53400000	q
1708	C11orf57	ENSG00000150776.16	11	112074086	112085150	53400000	q
1709	C11orf58	ENSG00000110696.8	11	16613132	16758340	53400000	p
1710	C11orf63	ENSG00000109944.9	11	122882683	122963862	53400000	q
1711	C11orf65	ENSG00000166323.11	11	108308519	108467531	53400000	q
1712	C11orf68	ENSG00000175573.6	11	65916810	65919062	53400000	q
1713	C11orf70	ENSG00000137691.11	11	102047437	102084554	53400000	q
1714	C11orf71	ENSG00000180425.9	11	114391443	114400511	53400000	q
1715	C11orf73	ENSG00000149196.14	11	86302211	86345943	53400000	q
1716	C11orf74	ENSG00000166352.14	11	36594369	36675695	53400000	p
1717	C11orf80	ENSG00000173715.14	11	66744451	66843516	53400000	q
1718	C11orf84	ENSG00000168005.7	11	63813456	63827716	53400000	q
1719	C11orf85	ENSG00000168070.10	11	64937517	64972108	53400000	q
1720	C11orf86	ENSG00000173237.4	11	66975277	66977009	53400000	q
1721	C11orf87	ENSG00000185742.6	11	109422190	109429167	53400000	q
1722	C11orf88	ENSG00000183644.12	11	111514778	111537043	53400000	q
1723	C11orf91	ENSG00000205177.6	11	33698261	33700801	53400000	p
1724	C11orf94	ENSG00000234776.3	11	45906513	45907272	53400000	p
1725	C11orf95	ENSG00000188070.9	11	63759892	63768775	53400000	q
1726	C11orf96	ENSG00000187479.5	11	43925342	43943878	53400000	p
1727	C11orf98	ENSG00000278615.3	11	62662817	62665210	53400000	q
1728	C12orf10	ENSG00000139637.12	12	53299695	53307177	35500000	q
1729	C12orf29	ENSG00000133641.16	12	88033846	88050160	35500000	q
1730	C12orf4	ENSG00000047621.10	12	4487735	4538508	35500000	p
1731	C12orf40	ENSG00000180116.14	12	39626167	39908300	35500000	q
1732	C12orf42	ENSG00000179088.13	12	103237591	103495978	35500000	q
1733	C12orf43	ENSG00000157895.10	12	121000486	121016502	35500000	q
