Name	brca_Database_ID	ovarian_Database_ID	brca_pvalue	ovarian_pvalue	gbm_pvalue	brca_diff	ovarian_diff	gbm_diff
RPN2	NP_001311233.1|NP_002942.2|NP_001311232.1|NP_001311228.1|NP_001311231.1|NP_001311230.1|NP_001129243.1|NP_001311234.1|NP_001311235.1	NP_001311233	0.8746568434519792	0.4102021177579668	0.657575181260622	-0.08511546391752567	0.08608781053269227	0.05168781815369357
RPRD1B	NP_067038.1	NP_067038	0.27134972575449084	0.000167983278531948	0.04283232151364244	0.26383340206185557	0.5338160577336538	0.25941880526695915
RPS21	NP_001015.1	NP_001015	0.7200476393457811	0.9571591156654309	0.721116559656106	0.07066437113402069	-0.005885474999038479	-0.03967260943457272
RRBP1	NP_004578.2	NP_004578	0.8050383657512687	0.8160952425622015	0.020973425252836853	0.10153150515463917	0.042444242815384656	0.2985283767389716
SAMHD1	NP_056289.2	NP_056289	0.5096934355437005	0.6256299418418819	0.9038606524887367	-0.26079088659793814	-0.08576866280192309	-0.01754062607556192
SDC4	NP_002990.2	NP_002990	0.9014776628616211	0.891678450943966	0.7687600575492626	-0.07340589690721644	-0.029880320855769228	0.059623500723427036
SEC23B	NP_006354.2|NP_001166217.1	NP_006354	0.5733180477490631	0.12138369526363764	0.31543230519764276	-0.1651740206185567	-0.15220101835576927	-0.07493713590766207
SERINC3		NP_945179		0.35950800278482203	0.5445420334430972			
SIGLEC1	NP_075556.1	NP_075556	0.6477612030776966	0.6507312486836255	0.9620184337768839	-0.24165665979381457	-0.09535315166346155	0.010621243419378201
SIRPA	NP_542970.1|NP_001317657.1|NP_001129316.1	NP_542970	0.1783102067047877	0.8568652972462424	0.0018822603989387405	-0.54802606185567	-0.03781962927403845	0.5590799848120542
SLPI	NP_003055.1	NP_003055	0.5362474476863939	0.4208672707002549	0.14126600018914517	0.6749392989690722	0.3562740428846154	-0.45912365930954185
SNRPB	NP_937859.1|NP_003082.1	NP_003082	0.8269187360649358	0.5914237382562011	0.35386138514145393	0.0453343092783505	-0.0701739097586539	0.24549985543196035
SNRPB2	NP_003083.1	NP_003083	0.8746568434519792	0.880732162766729	0.6471387047692576	0.030657113402061856	-0.015217905508653859	0.046570573409590456
SNTA1	NP_003089.1	NP_003089	0.48787612321235435	0.4208672707002549	0.0036652293862180704	0.3307280000000001	0.16623412934807688	0.5193217847027072
SNX21	NP_219489.1|NP_690857.1|NP_001036098.1|NP_001036097.1		0.5319875128899684		0.046437645359418384	0.24285707216494845		0.20256304329837627
SNX5	NP_689413.1|NP_001269383.1	NP_689413	0.4435704904461331	0.880732162766729	0.8786111650727362	0.22513080412371134	0.015375060789423071	0.014617628400594933
SOGA1	NP_542194.2|NP_954650.2	NP_542194	0.4729677177585779	0.06257244953279238	0.004830155687694255	0.2434632164948454	0.17050088557596155	0.3245500205535498
SRC	NP_005408.1	NP_005408	0.7540579309182572	0.7432351237988232	0.23471967281133868	0.116012206185567	0.02906061984134614	0.10898510255847368
SRSF6	NP_006266.2	NP_006266	0.5362474476863939	0.9571591156654309	0.6956384381876095	0.16866119587628867	0.004838965636538489	0.05203109177195984
SRXN1	NP_542763.1	NP_542763	0.06889716377606786	0.03711154489468127	0.06516134019915089	0.7776683711340207	0.4599064815067308	0.15106637600745493
SS18L1	NP_945173.1|NP_001288707.1		0.5620664540440763		0.04283232151364244	0.23785896907216492		0.23362347730187788
STAU1	NP_001309858.1|NP_001309860.1|NP_004593.2	NP_001309858	0.015075200449948428	0.008105865802206477	0.007421336217298512	0.636099175257732	0.3229824228307692	0.1618918177202373
STAU1	NP_001309858.1|NP_001309860.1|NP_004593.2	NP_001032405	0.015075200449948428	0.008105865802206477	0.007421336217298512	0.636099175257732	0.3135685742673077	0.1618918177202373
STK4	NP_006273.1	NP_006273	0.2880090251327299	0.663283581140342	0.16355913725967705	-0.34340828865979384	0.05434983033365383	0.09688987965410648
STX16	NP_001128245.1|NP_001001433.1|NP_001128244.1|NP_001191797.1	NP_003754	0.3037835255473976	0.4444864232380021	0.04160164643612372	0.3951300618556702	0.10213931680384616	0.152754655504603
STX16	NP_001128245.1|NP_001001433.1|NP_001128244.1|NP_001191797.1	NP_001128245	0.3037835255473976	0.5037336518708306	0.04160164643612372	0.3951300618556702	0.09184725312980771	0.152754655504603
STX16	NP_001128245.1|NP_001001433.1|NP_001128244.1|NP_001191797.1	NP_001001433	0.3037835255473976	0.5050045939698246	0.04160164643612372	0.3951300618556702	0.09084200273557694	0.152754655504603
SULF2	NP_061325.1|NP_940998.2		0.6588832038044834		0.6644296774639593	0.2789465154639174		-0.061281079629301446
TAF4	NP_003176.2	NP_003176	0.2288061022413062	0.7943543602779465	0.05010926078853773	0.25439035051546394	0.03389679364903846	0.14789903233884666
TASP1	NP_060184.2|NP_001310533.1|NP_001310531.1	NP_060184	0.4108313023896283	0.013171738141953626	0.06802516592618803	0.29087979381443285	0.33265780031923076	0.14387987888350143
TCEA2		NP_003186		0.4059198647636549	0.01111195504645491			
TFAP2C	NP_003213.1|NP_758438.2		0.41254156152030386			0.3477116288659794		
TGM2	NP_004604.2|NP_001310246.1|NP_001310247.1|NP_945189.1|NP_003232.2	NP_004604	0.49811029255436634	0.2170145635363544	0.6576693350387205	-0.41320416494845363	-0.3382006785913461	-0.09745749437173076
TM9SF4	NP_055557.2	NP_055557	0.36693450615834405	0.7976207886932039	0.11921049950938749	0.4358629690721648	-0.031297128772115435	0.1528133741612288
TMEM189-UBE2V1	NP_954673.1|NP_001244322.1|NP_001244324.1|NP_001244326.1|NP_001244323.1|NP_001269507.1	NP_954673	0.5362474476863939	0.08145058618087392	0.6861871478168954	0.1192887422680412	0.13351475303750002	-0.06487466348997806
TMX4	NP_066979.2	NP_066979	0.6446046049916415	0.5334102702777299	0.19644389200024054	-0.22779472164948447	0.0898592574269231	0.11686750682704344
TNNC2	NP_003270.1	NP_003270	0.6937638589143877	0.8568652972462424		0.3030289896907219	-0.03794723868269234	
TOMM34	NP_006800.2	NP_006800	0.17583946271623616	0.05540272383706181	0.8011037544344247	0.4780563711340206	0.34195373432596154	0.023882806590964964
TOP1	NP_003277.1	NP_003277	0.5096934355437005	0.018088485721376467	0.027161244524233644	0.20319534020618557	0.27827391418173075	0.2013190104473841
TP53RK	NP_291028.3	NP_291028	0.43022056408716813	0.50448086671349	0.5858518228559854	-0.2331820618556701	0.0985392510625	0.04627244755828099
TPD52L2	NP_955394.1|NP_955392.1|NP_003279.2|NP_001230824.1|NP_001230820.1|NP_001230823.1	NP_955392	0.24559673242361982	0.4208672707002549	0.8296822319515471	0.3428904742268042	0.09036719239134618	0.029138351391137143
TPD52L2	NP_955394.1|NP_955392.1|NP_003279.2|NP_001230824.1|NP_001230820.1|NP_001230823.1	NP_001230821	0.24559673242361982	0.4369277703883667	0.8296822319515471	0.3428904742268042	0.08742517297307689	0.029138351391137143
TPX2	NP_036244.2	NP_036244	0.43022056408716813	0.16972886034319662	0.597857590933821	0.5511639587628863	0.29185370215769235	0.10581744706562957
TRMT6	NP_057023.2|NP_001268396.1	NP_057023	0.24559673242361982	0.03928859155455783	0.0005206383171825943	0.39869839175257726	0.2929121963355769	0.30948538784470525
TTI1	NP_001290386.1	NP_001290386	0.17583946271623616	0.008105865802206477	0.04772843806596279	0.33974540206185566	0.3199798708875	0.1376855760819539
TTPAL	NP_077307.2|NP_001248768.1	NP_077307	0.20499731668756782	0.16972886034319662	0.15791255966689718	0.3322545154639176	0.2654123727721154	0.1055553645902652
TUBB1	NP_110400.1	NP_110400	0.5319875128899684	0.10111577593888575	0.6880165995288223	-0.47996911340206194	0.17333450277596157	0.09001945752939564
UBE2C	NP_008950.1|NP_861516.1|NP_861515.1|NP_001268671.1|NP_001268670.1	NP_008950	0.25855741263057874	0.26562540308863497	0.5786255649837649	0.806063711340206	0.2849463838163462	0.11770027402550126
UBE2V1	NP_001027459.1|NP_001244325.1|NP_001269509.1		0.602501634411359			-0.36603579381443296		
UBOX5	NP_055763.1|NP_955447.1		0.3223437128025119		0.04108584899901851	0.32708354639175263		0.1798114254445094
UCKL1	NP_060329.2|NP_001180308.1	NP_060329	0.8736873304738974	0.2756148708966735	0.6624287755556324	0.03909232989690719	-0.14725758487884616	-0.026062253229468892
UQCC1	NP_060714.3|NP_001171906.1|NP_955781.2	NP_060714	0.5200137501203664	0.281092679532586	0.5786255649837649	0.317634144329897	0.22315130691346152	0.05973673050463449
VAPB	NP_004729.1|NP_001182606.1	NP_004729	0.49811029255436634	0.23897962591487124	0.0001487268965162195	0.2860261030927836	0.14174423775673078	0.3268515729282033
VPS16	NP_072097.2|NP_536338.1	NP_072097	0.9498231827233264	0.5943940789874448	0.98519671786941	-0.014801855670103059	0.03695429070288461	0.0010373320665991378
WFDC2	NP_006094.3	NP_006094	0.7200476393457811	0.4208672707002549		0.46185232989690794	0.29057808832980764	
XRN2	NP_036387.2|NP_001304889.1	NP_036387	0.02553859158869418	0.03928859155455783	0.0497658632612056	0.3961413608247424	0.1726382731451923	0.1693718152652599
YTHDF1	NP_060268.2	NP_060268	0.24559673242361982	0.40431649584613544	0.003892469016646695	0.33121022680412365	-0.07780390558365385	0.16823917182360856
YWHAB	NP_003395.1	NP_003395	0.47848354440156143	0.032661401490550274	0.0022810377225338913	0.174712824742268	0.23570350207692306	0.2597032583408433
ZCCHC3	NP_149080.2	NP_149080	0.002360491540448145	0.03928859155455783	0.019909781330719058	1.1761704329896907	0.5197333050124999	0.3243190327609837
ZFP64	NP_060667.2|NP_955458.1|NP_071371.3	NP_060667	0.20499731668756782	0.14908977283558428	0.5786255649837649	-0.43358849484536083	0.3924433972855769	0.0802339753326748
ZGPAT	NP_852150.2|NP_115916.3|NP_001182583.1	NP_852150	0.3981351632552052	0.2588865641397659	0.0008124310621901036	0.24648111340206186	0.18035053172500004	0.2555708349369092
ZHX3	NP_055850.1		0.08553964151027789		0.007218943214450283	0.45841043298969075		0.21246987234031087
ZMYND8	NP_001268704.1|NP_001268702.1|NP_001268705.1|NP_001268698.1	NP_001268700	0.49811029255436634	0.013171738141953626	0.2656285815260145	0.16502457731958758	0.24810045708557693	0.09275787197201887
ZMYND8	NP_001268704.1|NP_001268702.1|NP_001268705.1|NP_001268698.1	NP_001268703	0.49811029255436634	0.01915496133574719	0.2656285815260145	0.16502457731958758	0.23585875308173077	0.09275787197201887
ZNF217	NP_006517.1|NP_001307484.1|NP_001307485.1|NP_001288708.1|NP_068735.1|NP_149981.2|NP_001288748.1|NP_001287878.1	NP_006517	0.8804025038248809	0.7392095938891392		0.058325484536082495	0.05178079924711536	
ZNF512B	NP_065764.1	NP_065764	0.9874011100397709	0.02564399423387373	0.24647419682215455	-0.009170061855670042	0.35848295320288465	0.13349290866401098
ZNFX1	NP_066363.1	NP_066363	0.4435704904461331	0.17171467521482198	0.2828247232461	0.1609787216494845	0.1196137008721154	0.07434151072160437
